nom,coordonnees,num_insee,dep
L'Abergement-Clémenciat,Point(4.921111111 46.151111111),1001,1400
L'Abergement-de-Varey,Point(5.424444444 46.006944444),1002,1640
Ambérieu-en-Bugey,Point(5.357777777 45.958055555),1004,1500
Ambérieux-en-Dombes,Point(4.902777777 45.998333333),1005,1330
Ambléon,Point(5.601388888 45.749444444),1006,1300
Ambronay,Point(5.360555555 46.005555555),1007,1500
Ambutrix,Point(5.338055555 45.939166666),1008,1500
Andert-et-Condon,Point(5.655277777 45.794722222),1009,1300
Anglefort,Point(5.808888888 45.912222222),1010,1350
Apremont (Ain),Point(5.656666666 46.206944444),1011,1100
Aranc,Point(5.509166666 46.004444444),1012,1110
Arandas,Point(5.486388888 45.895),1013,1230
Arbent,Point(5.681111111 46.295555555),1014,1100
Arboys en Bugey,Point(5.6511 45.7294),1015,1300
Arbigny,Point(4.970833333 46.47),1016,1190
Argis,Point(5.491111111 45.933888888),1017,1230
Armix,Point(5.585555555 45.849166666),1019,1510
Arnans,Point(5.4585 46.2615),1020,1250
Ars-sur-Formans,Point(4.822777777 45.991944444),1021,1480
Artemare,Point(5.692777777 45.874444444),1022,1510
Asnières-sur-Saône,Point(4.883055555 46.383888888),1023,1570
Attignat,Point(5.159722222 46.287222222),1024,1340
Bâgé-Dommartin,Point(4.9453 46.3156),1025,1380
Bâgé-le-Châtel,Point(4.929444444 46.307777777),1026,1380
Balan (Ain),Point(5.098333333 45.834166666),1027,1360
Baneins,Point(4.901666666 46.11),1028,1990
Beaupont,Point(5.266944444 46.411388888),1029,1270
Beauregard (Ain),Point(4.751388888 46.001944444),1030,1480
Bellignat,Point(5.632777777 46.244722222),1031,1100
Béligneux,Point(5.128888888 45.852222222),1032,1360
Valserhône,Point(5.8266 46.1083),1033,1200
Belley,Point(5.688055555 45.759166666),1034,1300
Belleydoux,Point(5.7775 46.2525),1035,1130
Valromey-sur-Séran,Point(5.6622 45.8814),1036,1260
Bénonces,Point(5.475277777 45.827777777),1037,1470
Bény,Point(5.283333333 46.319444444),1038,1370
Béon (Ain),Point(5.755277777 45.854722222),1039,1350
Béréziat,Point(5.046111111 46.366944444),1040,1340
Bettant,Point(5.362777777 45.943611111),1041,1500
Bey (Ain),Point(4.845833333 46.219444444),1042,1290
Beynost,Point(5.001388888 45.840277777),1043,1700
Billiat,Point(5.785277777 46.076944444),1044,1200
Birieux,Point(5.040277777 45.952777777),1045,1330
Biziat,Point(4.944444444 46.217222222),1046,1290
Blyes,Point(5.249444444 45.846944444),1047,1150
La Boisse,Point(5.035555555 45.842222222),1049,1120
Boissey (Ain),Point(4.996111111 46.381666666),1050,1190
Boissey (Ain),Point(4.996111111 46.381666666),1050,1380
Bolozon,Point(5.474444444 46.192777777),1051,1450
Bouligneux,Point(4.991666666 46.022777777),1052,1330
Bourg-en-Bresse,Point(5.228055555 46.204722222),1053,1000
Bourg-Saint-Christophe,Point(5.160555555 45.890555555),1054,1800
Boyeux-Saint-Jérôme,Point(5.456666666 46.03),1056,1640
Boz,Point(4.909444444 46.406944444),1057,1190
Brégnier-Cordon,Point(5.619722222 45.648888888),1058,1300
