nom,coordonnees,num_insee
L'Abergement-Clémenciat,Point(4.921111111 46.151111111),1001
L'Abergement-de-Varey,Point(5.424444444 46.006944444),1002
Amareins,Point(4.7939 46.0784),1003
Amareins,Point(4.7872 46.0768),1003
Ambérieu-en-Bugey,Point(5.357777777 45.958055555),1004
Ambérieux-en-Dombes,Point(4.902777777 45.998333333),1005
Ambléon,Point(5.601388888 45.749444444),1006
Ambronay,Point(5.360555555 46.005555555),1007
Ambutrix,Point(5.338055555 45.939166666),1008
Andert-et-Condon,Point(5.655277777 45.794722222),1009
Anglefort,Point(5.808888888 45.912222222),1010
Apremont,Point(5.656666666 46.206944444),1011
Aranc,Point(5.509166666 46.004444444),1012
Arandas,Point(5.486388888 45.895),1013
Arbent,Point(5.681111111 46.295555555),1014
Arboys en Bugey,Point(5.6511 45.7294),1015
Arbigny,Point(4.970833333 46.47),1016
Argis,Point(5.491111111 45.933888888),1017
Arlod,Point(5.81973 46.09335),1018
Armix,Point(5.585555555 45.849166666),1019
Arnans,Point(5.4585 46.2615),1020
Ars-sur-Formans,Point(4.822777777 45.991944444),1021
Artemare,Point(5.692777777 45.874444444),1022
Asnières-sur-Saône,Point(4.883055555 46.383888888),1023
Attignat,Point(5.159722222 46.287222222),1024
Bâgé-Dommartin,Point(4.9453 46.3156),1025
Bâgé-le-Châtel,Point(4.929444444 46.307777777),1026
Balan,Point(5.098333333 45.834166666),1027
Baneins,Point(4.901666666 46.11),1028
Beaupont,Point(5.266944444 46.411388888),1029
Beauregard,Point(4.751388888 46.001944444),1030
Bellignat,Point(5.632777777 46.244722222),1031
Béligneux,Point(5.128888888 45.852222222),1032
Valserhône,Point(5.8266 46.1083),1033
Belley,Point(5.688055555 45.759166666),1034
Belleydoux,Point(5.7775 46.2525),1035
Belmont,Point(5.6608725 45.879769),1036
Valromey-sur-Séran,Point(5.6622 45.8814),1036
Bénonces,Point(5.475277777 45.827777777),1037
Bény,Point(5.283333333 46.319444444),1038
Béon,Point(5.755277777 45.854722222),1039
Béréziat,Point(5.046111111 46.366944444),1040
Bettant,Point(5.362777777 45.943611111),1041
Bey,Point(4.845833333 46.219444444),1042
Beynost,Point(5.001388888 45.840277777),1043
Billiat,Point(5.785277777 46.076944444),1044
Birieux,Point(5.040277777 45.952777777),1045
Biziat,Point(4.944444444 46.217222222),1046
Blyes,Point(5.249444444 45.846944444),1047
Bohas,Point(5.3882 46.1591),1048
La Boisse,Point(5.035555555 45.842222222),1049
Boissey,Point(4.996111111 46.381666666),1050
Bolozon,Point(5.474444444 46.192777777),1051
Bouligneux,Point(4.991666666 46.022777777),1052
Bourg-en-Bresse,Point(5.228055555 46.204722222),1053
Bourg-Saint-Christophe,Point(5.160555555 45.890555555),1054
Bouvent,Point(5.6403478 46.2869013),1055
Boyeux-Saint-Jérôme,Point(5.456666666 46.03),1056
Boz,Point(4.909444444 46.406944444),1057
Brégnier-Cordon,Point(5.619722222 45.648888888),1058
Brénod,Point(5.606111111 46.060833333),1060
Brens,Point(5.694722222 45.718611111),1061
Bressolles,Point(5.095555555 45.866944444),1062
Brion,Point(5.5525 46.172777777),1063
Briord,Point(5.459444444 45.7825),1064
Buellas,Point(5.133333333 46.209166666),1065
La Burbanche,Point(5.560555555 45.846666666),1066
Ceignes,Point(5.499166666 46.120277777),1067
Cerdon,Point(5.465833333 46.080555555),1068
Certines,Point(5.264444444 46.132222222),1069
Cesseins,Point(4.8306 46.0725),1070
Cessy,Point(6.07 46.319166666),1071
Ceyzériat,Point(5.323888888 46.178333333),1072
Ceyzérieu,Point(5.726111111 45.835),1073
Chalamont,Point(5.171111111 45.996111111),1074
Chaleins,Point(4.804722222 46.030555555),1075
Chaley,Point(5.531666666 45.955277777),1076
Challes-la-Montagne,Point(5.464444444 46.125),1077
Challex,Point(5.975833333 46.181388888),1078
Champagne-en-Valromey,Point(5.6775 45.904444444),1079
Champdor-Corcelles,Point(5.5977 46.018),1080
Champfromier,Point(5.816666666 46.193888888),1081
Chanay,Point(5.785555555 46.006111111),1082
Chaneins,Point(4.851944444 46.096666666),1083
Chanoz-Châtenay,Point(5.03 46.184166666),1084
La Chapelle-du-Châtelard,Point(5.025555555 46.068888888),1085
Charancin,Point(5.64063 45.92731),1086
Charix,Point(5.684166666 46.183333333),1087
Charnoz-sur-Ain,Point(5.2225 45.864166666),1088
Château-Gaillard,Point(5.304166666 45.973333333),1089
Châtenay,Point(5.201666666 46.033333333),1090
Châtillon-la-Palud,Point(5.248888888 45.975833333),1092
Châtillon-sur-Chalaronne,Point(4.956944444 46.119722222),1093
